metesdescriptionlineid	metesdescription	metesdescriptionline	thencepoint	northsouth	degree	eastwest	foot	topoint	curveleftright	curveradiusfoot	curvetangent	manualxchange	manualychange	metesdescriptionlinenotes	curveinternalangle
87938	8098	18	along the center line of Summit Avenue in a general Southeasterly direction	S	\N	E	572	point in the center line of South Avenue (New Jersey State Highway Route No. 28), said point being the intersection of the center line of Summit Avenue with the center line of South Avenue and the center line of Hetfield Avenue		\N	0	\N	\N		\N
87939	8098	19	along the center line of Hetfield Avenue in a general Southeasterly direction	S	\N	E	67.27	angle point in the center line of Hetfield Avenue		\N	0	\N	\N		\N
87940	8098	20	still along the center line of Hetfield Avenue	S	\N	E	\N	point where said center line is intersected by the center line of Fanwood Avenue, now Shady Lane, as shown on a certain map entitled "Section No. One of Property Situated in Westfield, Union County, New Jersey", belonging to the New York Suburban Land Co., Surveyed in April 1908 by Voorhis and Smith, C.E., Rockville Center, Long Island, and filed in the Register's Office of Union County, New Jersey on June 22, 1908 as Map No. 127E		\N	0	\N	\N		\N
87941	8098	21	along the center line of Fanwood Avenue, now Shady Lane, as shown on the above-mentioned map	S	47.75	W	545	point where said center line of Fanwood Avenue, now Shady Lane, intersects the centerline of Third Street, now vacated		\N	0	\N	\N		\N
87942	8098	22	along the centerline of said vacated Third Street	S	42.25	E	125	point where said centerline is intersected by the prolongation of the division line between Lot 1 and Lot 54 in Block 6 of the abovementioned map		\N	0	\N	\N		\N
87943	8098	23	along said prolonged division line and continuing along the same course parallel with and One hundred feet (100') more or less Northwesterly of the Northeasterly sideline of Princeton Avenue	S	45.75	W	580	point in the centerline of Fourth Street as shown on the abovementioned map and now known as High View Court, as shown on map entitled "Map of High View Court, Lands of Cinkon, Inc., Situated in the Borough of Fanwood and the Township of Scotch Plains, Union County, New Jersey", dated March 11, 1960 and revised November 22, 1960, filed February 14, 1961 as Map No. 545-F		\N	0	\N	\N		\N
87944	8098	24	Southeasterly along the centerline of said High View Court	S	\N	E	140	point where said centerline intersects the division line between the Township of Scotch Plains and the Borough of Fanwood		\N	0	\N	\N		\N
87945	8098	25	continuing along the same course parallel with and Twenty five feet (25') Northeasterly from the Southwesterly sideline of High View Court	S	\N	E	110	point where said line is intersected by the prolongation of the division line between Lot 1 in Block 276 of lands of Cinkon, Inc. as shown on the abovementioned map and Lot 4 in Block 276, being lands of J. & M. Hansen		\N	0	\N	\N		\N
87946	8098	26	along the prolongation of said division line and continuing along said division line and still continuing on the same course along the division line between Lot 2 in Block 276 and Lot 4 in Block 276 as delineated on map entitled "Map of Algonquin Village, Situated in the Township of Scotch Plains, Union County, New Jersey", dated August 26, 1959, filed on December 15, 1959, as Map No. 518-E	S	48.611111111111	W	123.1	point where said division line intersects the division line between Lot 4 in Block 276 and lands of Township of Scotch Plains		\N	0	\N	\N		\N
87947	8098	27	along the division line between Lot 2 in Block 276 and lands of Township of Scotch Plains	N	41.388888888889	W	5.01	angle point		\N	0	\N	\N		\N
