lawsectionid	law	lawsectionfrom	lawsectionpagefrom	lawsectionto	lawsectionpageto	eventtype	lawsectionamend	lawsectionnewfrom	lawsectionnewto	lawsectionnewlaw	lawsectionsymbol	lawsectionnewsymbol
533	379	12	590	12	590	49	\N			\N	§	
534	380	1	519	1	520	2	1675			\N	§	
535	380	2	520	2	521	117	\N	506	506	1205	§	§
536	381	1	240	1	240	4	\N			\N	§	
537	382	1	49	1	50	31	\N	4	4	714	§	art. 1, §
538	383	1	332	6	334	2	\N			\N	§	
539	384	7	339	7	339	2	\N			\N	§	
540	385	1	455	1	456	117	499			\N	§	
541	386	1	690	1	691	2	\N			\N	§	
542	387	1	409	35	418	31	\N			\N	§	
543	411	1	999	1	999	4	1042			\N	§	
544	411	4	1005	5	1006	4	1042			\N	§	
545	388	1	7	4	9	54	\N	532	532	45	§	§
546	389	1	56	1	58	21	448			\N	§	
547	390	1	94	11	98	5	\N			\N	§	
548	391	1	377	1	377	34	\N			\N	§	
550	393	1	647	2	647	2	\N			\N	§	
551	394	1	100	2	101	2	\N			\N	§	
552	395	1	306	1	309	34	1010			\N	§	
553	396	1	92	2	93	2	\N			\N	§	
554	397	2	998	2	998	2	\N	3	3	504	§	§
555	397	1	997	1	998	2	690			\N	§	
556	398	1	1166	2	1167	2	\N			\N	§	
557	399	1	386	1	387	4	\N			\N	§	
558	400	1	380	19	385	33	\N			\N	§	
559	401	1	181	32	189	32	\N			\N	§	
561	403	1	133	2	134	82	\N			\N	§	
562	404	1	782	1	782	4	\N			\N	§	
563	405	1	124	14	130	30	\N			\N	§	
564	406	3	68	4	68	34	\N			\N	§	
565	407	1	1032	8	1034	97	\N			\N	§	
566	408	1	107	20	112	30	\N			\N	§	
567	409	1	947	3	949	11	1474			\N	§	
568	410	1	288	2	289	36	\N			\N	§	
569	436	1	803	11	805	30	\N			\N	§	
570	412	1	664	1	664	2	1789			\N	§	
571	413	1	295	1	296	2	538			\N	§	
572	414	1	439	1	440	5	\N			\N	§	
573	415	1 [603]	208	1 [603]	208	117	55			\N	§	
574	416	1	204	1	204	2	\N			\N	§	
575	417	1	17	17	20	33	\N			\N	§	
576	418	1	268	3	268	11	1041			\N	§	
577	419	12	142	12	142	4	\N			\N	§	
578	421	1	425	1	425	30	\N			\N	§	
579	422	22	416	22	416	4	\N			\N	§	
580	422	9	414	9	414	2	\N			\N	§	
